timestamp	exp_id	code_sha	parent_sha	description	status	gguf_size_bytes	base_type	diffusion	refine_iterations	model_size_mb	quantize_time_s	eval_time_s	tokens_per_sec	ppl	ppl_base	ppl_cor	ppl_ln_ratio	ppl_ratio	ppl_diff	kld_mean	kld_max	kld_99_9	kld_99_0	kld_95_0	kld_90_0	kld_median	kld_10_0	kld_5_0	kld_1_0	kld_0_1	kld_min	dp_mean	dp_max	dp_99_9	dp_99_0	dp_95_0	dp_90_0	dp_75_0	dp_median	dp_25_0	dp_10_0	dp_5_0	dp_1_0	dp_0_1	dp_min	dp_rms	same_top_p
2026-07-09T15:06:00	exp-001	dce855c01	dce855c01	Remove ATTENTION_QKV Q5_K boost (dead code)	NULL	529297440	Q4_K_M_CLONE	0	0	494.32	9.35	0	0	22.449870	21.522114	99.18	0.042204	1.043107	0.927756	0.062947	2.728466	0.816073	0.344801	0.169419	0.125335	0.046588	0.006354	0.002187	0.000278	0.000025	-0.000001	-0.852	47.694	27.676	13.976	6.213	3.350	0.458	-0.016	-1.636	-6.135	-9.827	-21.317	-47.437	-86.256	5.753	86.387
2026-07-09T15:41:00	exp-002	2a6338289	8c492410c	Remove Q6_K boost for ATTENTION_WV and FFN_DOWN from clone	REGRESSION	501452832	Q4_K_M_CLONE	0	0	467.77	9.59	132	485	22.676128	21.522114	99.06	0.052232	1.053620	1.154014	0.073436	2.664597	1.038357	0.406934	0.196853	0.145718	0.053943	0.007195	0.002511	0.000344	0.000033	-0.000001	-0.919	52.663	28.342	14.620	6.826	3.607	0.466	-0.020	-1.740	-6.504	-10.497	-22.492	-49.685	-90.943	6.165	85.483
2026-07-09T16:23:00	exp-003	c4c8fe439	c4c8fe439	Symmetric sub-block quantization with 8-bit scales (SSQ-8) — remove dmin, int8 scales	REGRESSION	520165920	Q4_K_M_CLONE	0	0	485.61	7.24	530	192	24.893341	21.522114	98.48	0.145519	1.156640	3.371228	0.114585	4.964201	1.459104	0.608566	0.316097	0.230189	0.083932	0.012607	0.005085	0.000789	0.000073	0.000004	-2.037	50.350	27.623	14.872	6.433	3.146	0.182	-0.158	-3.036	-9.470	-15.309	-31.888	-61.045	-93.365	7.885	82.501
2026-07-09T17:30:00	exp-004	0cb644fc5	0cb644fc5	Reduce scale/min from 6+6b to 5+3b per sub-block (8-byte scales, 140-byte block)	REGRESSION	523209760	Q4_K_M_CLONE	0	0	488.52	9.35	0	0	23.567923	21.522114	98.97	0.090806	1.095056	2.045809	0.077500	4.331567	1.198841	0.429818	0.211719	0.156804	0.055623	0.007279	0.002587	0.000388	0.000044	0.000001	-0.949	58.980	30.693	14.617	6.873	3.780	0.462	-0.032	-1.737	-6.504	-10.918	-23.925	-53.696	-89.007	6.380	85.427
2026-07-09T18:15:00	exp-005	8496fda4b	8496fda4b	Dual-anchor DPCM delta encoding of scale-min pairs (10-byte scales, 142B block)	REGRESSION	526253600	Q4_K_M_CLONE	0	0	488.52	10.75	134	187	25.380007	21.522114	97.54	0.164881	1.179253	3.857893	0.180095	7.192827	3.081127	1.010564	0.487019	0.357750	0.129293	0.020415	NULL	NULL	NULL	0.000002	-2.356	74.434	35.982	19.087	8.538	4.413	0.383	-0.113	-3.465	-11.732	NULL	NULL	NULL	-98.073	10.060	78.472
2026-07-10T00:06:26	exp-006	034837449	034837449	Scale-Dependent Min Prediction: predictor m≈(d/dmin)×sc with 4b grouped deltas (8B scales). Code had alignment bug — thin wrapper cast to block_q4_K* incompatible with 8B scales	FAILED	523209760	Q4_K_M_CLONE	0	0	488.52	9.19	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL2026-07-09T19:40:00	exp-007	082008577	6830be412	Codebook VQ of scale-min pairs (4-entry, 12-to-8 bytes) + per-weight nibble re-optimization recovery	REGRESSION	523209760	Q4_K_M_CLONE	0	0	488.52	14.69	132	185	24.845456	21.522114	98.69	0.143594	1.154415	3.323343	0.101213	4.354442	1.591925	0.563774	0.271727	0.201261	0.073849	0.009896	0.003575	0.000496	0.000061	0.000007	-1.332	62.810	32.688	16.201	7.703	4.076	0.418	-0.063	-2.257	-8.086	-13.293	-28.467	-59.910	-95.582	7.468	83.631
2026-07-10T04:35:00	exp-008
7a970fc03	7a970fc03
Extended superblock with shared d/dmin (QK_K_CLONE=512, 16 sub-blocks, 284-byte block). Saves 4B per 512 weights (1.39% per clone block, ~0.6% overall). Catastrophic failure on GPU eval, CPU path segfaults (NULL vec_dot).	REGRESSION
526253600	Q4_K_M_CLONE
0	0
501.87	10.48
575	111
5896336.6768	21.522114
1.53	12.520761
273966.430	5896315.155
12.848800	33.139820
24.534733	21.032742
18.222847	16.791681
12.492052	9.433601
8.707495	7.393262
6.014891	4.101965
-31.107	1.626
0.005	-0.000
-0.006	-0.043
-0.877	-13.324
-58.882	-94.226
-98.585	-99.838
-99.984	-99.998
47.078	0.006
2026-07-10T01:45:00	exp-009	5a10d30ad8abedcc903936a5bb4bbffc2594371f	5a10d30ad8abedcc903936a5bb4bbffc2594371f	Reduce token_embd/output from Q6_K to Q4_K_M_CLONE for clone ftype (no block struct changes)	REGRESSION	463740960	Q4_K_M_CLONE	0	0	442.26	9.88	535	185	22.909116	21.522114	99.06	0.062454	1.064445	1.387002	0.073896	3.155849	1.022333	0.381615	0.191726	0.144500	0.056553	0.008453	0.002651	0.000333	0.000027	-0.000000	-1.124	47.846	27.145	14.647	6.803	3.505	0.398	-0.033	-2.026	-7.197	-11.598	-23.234	-49.514	-85.186	6.350	84.605
2026-07-10T01:38:00	exp-010	6b631b262	5a10d30ad	Reduce token_embd/output from Q6_K to Q5_K for clone ftype — halfway between Q4_K_M_CLONE (exp-009) and Q6_K (baseline)	REGRESSION	495525920	Q5_K	0	0	472.57	9.65	0	0	22.646635	21.522114	99.16	0.050930	1.052250	1.124521	0.064977	2.900473	0.890804	0.352985	0.172065	0.128681	0.048427	0.007004	0.002288	0.000295	0.000031	0.000000	-0.924	55.128	26.593	14.147	6.309	3.440	0.424	-0.021	-1.736	-6.280	-10.301	-21.266	-44.527	-83.323	5.875	85.937
2026-07-10T02:16:00	exp-011	fac12b480	fab5f5f81	Q5_K token_embd/output + Q6_K for ALL QKV attention layers (clone ftype)	SUCCESS	509042720	Q4_K_M_CLONE	0	0	485.46	9.50	530	121	22.763347	21.522114	99.21	0.056071	1.057672	1.241233	0.061802	2.758104	0.842046	0.344734	0.165046	0.121901	0.045817	0.006560	0.002100	0.000262	0.000021	0.000000	-0.919	47.618	25.059	13.587	6.190	3.287	0.425	-0.020	-1.677	-6.297	-10.198	-21.148	-43.543	-86.416	5.752	86.391
2026-07-10T00:30:00	exp-012	1a3cbb8e7	1a3cbb8e7	SDMP-WS: Safience-Driven Mixed Precision Within Superblocks (136-byte block, CUDA init crash)	FAILED	517122080	Q4_K_M_CLONE	0	0	493.16	15.75	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2026-07-10T02:00:00	exp-013	070197257	070197257	Iterative Joint Optimization (IJO) — multi-pass refinement of superblock parameters within 144-byte block	REGRESSION	529297440	Q4_K_M_CLONE	0	0	494.32	9.59	130	200	25.295724	21.522114	97.74	0.161554	1.175336	3.773610	0.165138	8.246680	2.472958	0.924834	0.452569	0.332621	0.119368	0.016416	0.006179	0.000951	0.000100	0.000002	-2.033	66.528	35.020	18.392	8.555	4.521	0.411	-0.098	-3.080	-10.844	-17.662	-37.145	-73.344	-98.493	9.389	79.430
2026-07-10T00:05:00	exp-014	de78d6cc9	f8b7d29a6	Transparent zstd compression of GGUF file (post-quantization) — lossless, quality identical to baseline	SUCCESS	515293111	Q4_K_M_CLONE	0	0	491.41	14.67	552	935	22.449870	21.522114	99.18	0.042204	1.043107	0.927756	0.062947	2.728466	0.816073	0.344801	0.169419	0.125335	0.046588	0.006354	0.002187	0.000278	0.000025	-0.000001	-0.852	47.694	27.676	13.976	6.213	3.350	0.458	-0.016	-1.636	-6.135	-9.827	-21.317	-47.437	-86.256	5.753	86.387
2026-07-10T00:08:00	exp-015	96fa97a0b	de78d6cc9	zstd level 19 — maximum GGUF compression, benchmarked all algorithms/params (xz, bzip2, --ultra -22, split, delta) — zstd -19 is the practical maximum	SUCCESS	513124023	Q4_K_M_CLONE	0	0	489.35	67.36	540	950	22.449870	21.522114	99.18	0.042204	1.043107	0.927756	0.062947	2.728466	0.816073	0.344801	0.169419	0.125335	0.046588	0.006354	0.002187	0.000278	0.000025	-0.000001	-0.852	47.694	27.676	13.976	6.213	3.350	0.458	-0.016	-1.636	-6.135	-9.827	-21.317	-47.437	-86.256	5.753	86.387
2026-07-10T00:16:22	exp-016	c8b50ea4	238b6d5a	Walsh-Hadamard per-superblock preprocessing (FWHT/IWHT) — QuIP/PolarQuant-inspired rotation before quantize, inverse at dequant — same 144-byte block, quality IMPROVED (KLD -9.7%, same_top_p +0.81pp)	SUCCESS	513745093	Q4_K_M_CLONE	0	0	494.32	66.56	620	103	22.488848	21.522114	99.24	0.043939	1.044918	0.966734	0.056838	2.193934	0.823377	0.317526	0.153761	0.115702	0.041396	0.004876	0.001735	0.000215	1.7e-05	-3e-06	-0.397	44.093	25.174	13.703	6.727	3.829	0.687	-0.002	-1.116	-4.897	-8.414	-17.931	-42.252	-84.987	5.183	87.2
2026-07-10T07:09:21	exp-018	d5d144f67	6bf16d976	Column-major block reordering (K-first) for better zstd compression — reorder 2D tensor blocks in GGUF from row-major to column-major order, group same-K-range blocks for zstd. In-place byte transposition.	FAILED	513878004	Q4_K_M_CLONE	0	0	494.32	65.06	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2026-07-10T02:30:00	exp-019	0b26a11b5	0b26a11b5	FWHT + MSE-optimized secondary quantization via local search on d/dmin/ls/lm (quantize-side only, same 144B struct, dequant unchanged)	SUCCESS	513873380	Q4_K_M_CLONE	0	0	494.32	65.86	620	103	22.224449	21.522114	99.24	0.032112	1.032633	0.702336	0.055513	2.832417	0.777438	0.297584	0.151539	0.112631	0.040228	0.005159	0.001769	0.000206	0.000019	-0.000000	-0.575	53.139	23.812	12.936	6.195	3.587	0.582	-0.003	-1.286	-5.257	-8.796	-18.813	-40.631	-87.345	5.211	87.411

